# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Thu, 22 Jun 2023 03:08:01 +0200
#
# IP	number of (black)lists
#
162.247.74.74	11
171.25.193.77	10
162.247.74.200	9
171.25.193.78	9
45.159.209.112	9
51.89.153.112	9
47.236.24.196	9
89.234.157.254	9
162.247.74.27	9
162.247.74.217	9
45.95.146.115	9
211.214.247.30	9
117.160.3.132	9
185.224.128.121	9
185.129.62.63	9
176.113.115.210	8
176.113.115.211	8
80.82.77.33	8
38.97.116.244	8
162.247.74.206	8
180.101.88.247	8
14.53.134.163	8
218.92.0.35	8
45.154.98.176	8
218.92.0.17	8
183.99.182.87	8
80.82.77.139	8
43.156.105.139	8
59.8.155.117	8
218.92.0.56	8
166.70.207.2	8
45.154.98.173	8
167.94.138.33	8
185.220.103.5	8
36.110.228.254	8
171.25.193.235	8
171.25.193.20	8
167.86.94.107	8
218.92.0.20	8
218.92.0.22	8
146.59.233.33	8
222.168.30.19	8
162.247.74.204	8
112.184.218.63	8
2.58.56.114	8
61.76.169.138	8
45.128.232.71	8
185.246.188.67	8
220.125.184.57	8
51.222.86.79	8
107.172.140.147	7
211.193.31.52	7
128.31.0.13	7
162.247.74.201	7
159.65.41.104	7
203.229.159.166	7
107.189.31.134	7
103.251.167.20	7
144.172.73.16	7
218.92.0.34	7
92.222.108.86	7
161.35.125.167	7
47.236.25.121	7
94.102.49.190	7
167.114.223.103	7
104.244.78.233	7
8.222.168.64	7
162.142.125.225	7
167.248.133.50	7
146.19.169.228	7
185.220.101.35	7
218.92.0.107	7
82.200.65.218	7
97.74.93.57	7
185.220.101.8	7
81.28.167.30	7
23.129.64.217	7
68.178.161.31	7
121.129.93.181	7
211.252.204.42	7
118.46.28.173	7
134.17.16.196	7
123.149.173.112	7
198.98.48.192	7
68.183.132.72	7
222.101.206.211	7
144.217.86.109	7
121.182.254.9	7
178.20.55.16	7
69.127.23.120	7
162.247.72.199	7
185.42.170.203	7
157.230.83.80	7
117.1.29.203	7
128.199.74.173	7
59.173.30.232	7
14.44.1.76	7
122.116.62.164	7
125.141.120.48	7
192.42.116.14	7
220.90.224.186	7
175.207.13.22	7
188.254.0.160	7
104.244.79.40	7
8.219.252.14	7
218.92.0.108	7
167.94.138.51	7
185.100.87.174	7
198.27.83.164	7
64.227.176.74	7
71.6.165.200	7
139.59.231.120	7
59.2.125.119	7
185.180.143.15	7
125.74.239.20	7
31.145.142.206	7
14.63.203.207	7
171.111.192.1	7
106.225.193.35	7
185.220.103.7	7
59.173.19.11	7
162.247.74.213	7
159.203.85.196	7
197.26.19.193	7
171.25.193.25	7
187.141.135.181	7
212.33.250.241	7
218.92.0.23	7
218.92.0.25	7
94.153.212.78	7
180.250.124.227	7
162.247.74.7	7
47.236.27.111	7
103.63.108.25	7
154.26.155.154	7
89.190.156.135	7
218.92.0.29	7
218.92.0.24	7
223.197.188.206	7
125.212.233.50	7
66.240.192.138	7
162.142.125.214	7
162.142.125.216	7
162.142.125.217	7
185.241.208.202	7
221.213.129.46	7
185.220.101.52	7
218.92.0.113	7
218.92.0.118	7
167.248.133.49	7
47.236.31.64	7
185.165.190.17	7
190.144.14.170	7
104.244.76.13	7
43.156.74.217	7
122.146.196.217	7
185.129.62.62	7
190.156.231.245	7
60.174.192.240	7
205.185.113.140	7
8.222.196.120	7
71.6.135.131	7
185.220.103.117	7
209.141.51.30	7
179.131.10.103	7
106.52.77.177	7
138.197.32.150	7
122.165.62.224	7
68.183.212.10	7
8.222.131.191	7
124.137.205.59	7
159.65.98.176	7
185.165.190.34	7
144.172.118.36	6
182.72.142.62	6
14.161.27.163	6
164.90.224.228	6
121.187.229.137	6
51.89.164.205	6
142.93.31.18	6
58.144.251.16	6
143.198.99.190	6
87.236.176.97	6
201.217.195.226	6
59.1.226.250	6
183.136.225.43	6
188.166.5.84	6
43.156.237.23	6
107.170.239.9	6
221.157.221.207	6
109.195.242.57	6
51.254.114.229	6
80.91.167.80	6
185.180.143.143	6
185.180.143.142	6
128.201.78.253	6
203.245.29.159	6
141.98.11.158	6
103.37.80.90	6
64.227.178.234	6
34.80.59.105	6
14.224.160.150	6
211.253.10.96	6
50.254.136.133	6
119.198.219.193	6
46.105.29.159	6
167.172.98.89	6
157.230.113.181	6
190.202.124.93	6
190.103.240.4	6
172.104.11.34	6
196.189.124.200	6
66.240.236.119	6
96.93.196.89	6
112.166.186.65	6
43.156.231.205	6
211.216.217.126	6
71.6.199.23	6
87.251.236.115	6
167.94.146.60	6
118.101.192.62	6
51.222.193.210	6
218.92.0.31	6
201.226.239.98	6
211.112.187.197	6
119.4.250.94	6
179.27.60.34	6
59.26.216.102	6
45.79.181.251	6
114.199.123.211	6
209.97.186.44	6
94.153.212.68	6
157.245.107.128	6
158.160.6.234	6
198.23.148.137	6
121.146.4.161	6
128.199.33.46	6
165.22.214.191	6
59.29.145.37	6
181.28.101.14	6
171.244.28.26	6
43.156.10.143	6
43.153.184.188	6
202.77.105.98	6
139.99.189.205	6
104.131.40.97	6
94.102.49.193	6
27.71.238.208	6
141.98.11.110	6
211.109.181.11	6
211.196.120.196	6
185.220.102.247	6
185.220.102.243	6
8.222.199.27	6
128.199.5.4	6
191.9.123.39	6
206.189.87.115	6
187.235.76.94	6
187.210.226.222	6
43.131.27.151	6
196.229.67.9	6
192.227.174.167	6
107.189.30.69	6
200.105.183.118	6
23.95.166.48	6
186.67.248.6	6
167.71.203.186	6
8.222.204.225	6
37.32.21.175	6
45.79.181.179	6
180.76.208.113	6
165.227.166.247	6
162.142.125.223	6
162.142.125.224	6
162.142.125.226	6
183.221.243.20	6
185.224.128.142	6
43.133.102.2	6
220.88.1.208	6
8.222.180.190	6
162.243.132.7	6
36.67.197.52	6
43.163.197.146	6
64.227.28.246	6
185.220.101.33	6
115.79.35.110	6
107.173.209.238	6
59.23.199.98	6
112.132.249.164	6
200.122.249.203	6
192.241.193.43	6
43.128.98.84	6
189.7.129.60	6
52.230.106.37	6
43.134.55.65	6
167.248.133.124	6
107.180.88.176	6
167.248.133.36	6
167.248.133.34	6
167.248.133.35	6
167.248.133.38	6
68.183.156.109	6
27.111.74.44	6
128.199.87.28	6
45.161.176.1	6
178.62.105.122	6
165.22.62.203	6
220.133.95.68	6
211.253.170.241	6
23.129.64.219	6
23.129.64.218	6
23.129.64.211	6
23.129.64.210	6
23.129.64.213	6
23.129.64.216	6
121.185.234.165	6
103.91.136.18	6
189.206.165.62	6
112.175.138.82	6
43.135.172.115	6
95.156.96.46	6
223.197.186.7	6
185.220.101.48	6
185.220.101.46	6
8.213.27.228	6
209.141.41.166	6
104.131.13.185	6
112.196.62.36	6
220.135.177.191	6
118.45.184.99	6
159.65.150.25	6
8.222.191.119	6
218.206.136.24	6
154.8.176.226	6
182.214.122.203	6
158.160.24.212	6
14.36.111.178	6
51.77.185.70	6
159.65.218.99	6
206.189.130.255	6
125.134.168.105	6
200.195.169.59	6
185.170.114.25	6
94.230.208.147	6
43.254.240.202	6
8.222.202.25	6
139.59.121.198	6
62.28.222.221	6
130.149.80.199	6
43.156.7.196	6
49.247.147.173	6
186.10.125.209	6
221.178.202.173	6
128.1.248.34	6
185.220.101.1	6
192.155.90.118	6
82.65.173.65	6
162.243.116.41	6
186.4.222.45	6
104.236.246.102	6
45.119.212.196	6
151.80.149.86	6
201.236.101.194	6
54.36.108.162	6
103.251.167.21	6
183.136.225.9	6
43.135.145.254	6
185.180.143.73	6
80.229.18.62	6
185.224.128.128	6
167.172.159.73	6
203.172.76.4	6
59.127.225.61	6
112.172.191.54	6
117.161.75.116	6
49.249.83.115	6
96.67.59.65	6
198.96.155.3	6
211.43.15.80	6
185.220.101.58	6
84.252.143.78	6
187.103.67.186	6
121.163.170.177	6
159.65.143.78	6
159.223.107.230	6
69.49.245.229	6
119.167.219.132	6
192.42.116.16	6
192.42.116.13	6
103.183.75.49	6
157.245.40.222	6
128.199.217.226	6
43.156.109.253	6
